221420,leoancab,Sauces,25/01/2022,08:00,313.0,80.0,75.0
788248,leoancab,Sauces,26/01/2022,08:00,222.0,110.0,75.0
646136,leoancab,Sauces,26/01/2022,08:00,222.0,110.0,75.0
756822,leoancab,Sauces,26/01/2022,08:00,222.0,110.0,75.0
375365,leoancab,Sauces,26/01/2022,08:00,222.0,110.0,75.0
502815,leoancab,Sauces,26/01/2022,08:00,222.0,110.0,75.0
147637,leoancab,Sauces,26/01/2022,08:00,222.0,110.0,75.0
101176,leoancab,Sauces,26/01/2022,08:00,222.0,110.0,75.0
114040,leoancab,SAAAAAAAAAAUCEEEESSSSS,26/01/2022,08:00,338.0,150.0,87.0
072465,leoancab,Sauces,20/01/2022,09:00,299.0,98.0,65.0
438331,leoancab,Sauces,20/01/2022,09:00,299.0,98.0,65.0
866743,cgalabay,Sauces,27/01/2022,10:00,285.0,99.0,173.0
534438,cgalabay,Sauces,27/01/2022,10:00,0.0,0.0,41.0
687106,cgalabay,Sauces,27/01/2022,10:00,257.0,17.0,85.0
